text,size,topic
grillo,87455,0
pd,80343,0
renzi,77427,0
#m5s,65358,0
europee,61775,0
lavoro,60182,0
@martarapallini,57223,0
@marialatella,57214,0
@manuele_a,57186,0
@lucaferrari94,57138,0
@loryone95,57119,0
@libero_official,57099,0
@la_bonobo,57061,0
@giovannistinco,56829,0
@giovagarzella,56818,0
@ginkoramingo,56813,0
@gela5stelle,56792,0
@galluccio,56779,0
@g_masera,56772,0
@forumpa14,56608,0
@federicabb,56441,0
@e_lop84,56359,0
@domgokusei,56338,0
@davide_elefante,56317,0
@conci61,56243,0
@claudiadonegagl,56235,0
@ciqo_parisi,56222,0
@ceciliacecere,56086,0
@bobomarchesi,56015,0
@biziooldstyle,56011,0
@avatar1dory,55968,0
@antonioscoletta,55928,0
@angeljkag,55886,0
@andyferraro,55885,0
@andreamarini93,55877,0
@amshare_armando,55872,0
@amicidellaterra,55857,0
@ami__cat,55856,0
@alinamure,55852,0
@aliloves_am,55850,0
@alibaba656,55849,0
@alfredodigaeta,55848,0
@alexxbernabei,55846,0
@alessiotalarico,55840,0
@alessioboso,55839,0
@alessiaballanti,55837,0
@alessandrotoms,55836,0
@alessandrodalai,55834,0
@agriturtrentino,55768,0
@agi_italy_news,55523,0
@abrignani_i,55514,0
@_s_fabi_,55506,0
9-10%,55443,0
82°,55418,0
78?,55412,0
660mila,55405,0
606,55383,0
5692,55377,0
smetterlo prezzolini,54405,0
scuola cultura,54370,0
milione voti,53952,0
cima ranking,53782,0
[ciwati] sì,53699,0
@thelambkin @fabio91rix,53696,0
#lavoro decente,53474,0
vinto#renzi,53424,0
verbo;-,53035,0
supporto?,52960,0
supporto,52959,0
suonavano,52955,0
suddivise,52954,0
sudati,52953,0
succedera,52952,0
subisse,52951,0
su5*****#grillo,52950,0
su-ccessone,52949,0
stwitta,52948,0
sturaro,52947,0
stuprarci,52946,0
stupiscono,52945,0
studente/lavoro?,52942,0
strage,52938,0
storpiare,52936,0
storna,52935,0
stormi,52933,0
stordito,52932,0
stordire,52931,0
storace-zingaretti,52930,0
stavoltà,52928,0
sperati,52860,0
spella,52859,0
spaventar,52858,0
spaccone,52854,0
spaccona,52853,0
spacciavano,52852,0
spacciarlo,52851,0
spacciarli,52850,0
spacciare,52849,0
spaccia,52848,0
spaccategli,52847,0
