text,size,topic
#,19,0
#1vale1,1,0
#80euro,6,0
#abbiamosimpatia,1,0
#aboliamoleggefornero,20,0
#acmilan,2,0
#adagio,1,0
#aiutatemi,1,0
#alfano,7,0
#allafacciadellacoerenza,1,0
#almomentodelvoto,2,0
#altraeuropa,1,0
#amministrative2014,1,0
#anglicani,1,0
#annamallamo,1,0
#annunci,3,0
#ansia,1,0
#arezzo,1,0
#assange,2,0
#astronomia,4,0
#babyshower,1,0
#ballarò,1,0
#banche,3,0
#bari,1,0
#basilicata,2,0
#basta,6,0
#bastacasta,1,0
#bastaeuro,4,0
#bastaunamatita,8,0
#bce,1,0
#be,2,0
#belloefake,2,0
#beppegrillo,4,0
#bergamo,6,0
#berlusconi,33,0
#berlusconi?,1,0
#bernini,1,0
#blog,2,0
#boldrini,2,0
#bologna,1,0
#bolzano,4,0
#bonafe,1,0
#bonafè,3,0
#borghi,2,0
#boschi,1,0
#brescia,3,0
#brindisi,1,0
#brunochie,1,0
#brunochiedi,27,0
#budrio,1,0
#buffone,6,0
#c,1,0
#cagliari,2,0
#calabria,2,0
#calcio,3,0
#calciomercato,4,0
#cambiaverso,1,0
#cambiocampo,1,0
#campagnaelettorale,1,0
#cannes2014,1,0
#capena,1,0
#carfagna,1,0
#casa,1,0
#casaleggio,3,0
#casaleggioassociati,1,0
#casamilan,1,0
#casapound,1,0
#casentino,1,0
#casermai,1,0
#celochiedemario,1,0
#celochieditu,2,0
#ceto,1,0
#cheguevera,1,0
#chiamparino,3,0
#coerenza,1,0
#coffeebreak,1,0
#coglione,1,0
#comefosseantani,2,0
#comico,1,0
#commerciale,2,0
#comunali,2,0
#comunque,1,0
#conflittodinteressi,1,0
#conflittointeressi,1,0
#congressocdllavoro,1,0
#congressocdllombardia,2,0
#conoscerelavrgogna,1,0
#consilvio,2,0
#contropiano,1,0
#corradinomineo,2,0
#corso,1,0
#coseconcrete,2,0
#cosmopolitalians,2,0
#covodinordest,1,0
#creatività,1,0
#cremona,1,0
#crisi,1,0
#cronaca,2,0
#crowdfunding,1,0
#cv,1,0
#damagogia?,1,0
#damagonia?,1,0
#decretolupi,2,0
#democrazia,1,0
#destra,1,0
#disagio,1,0
#disoccupati,2,0
#divertimento,1,0
#dlcasa,3,0
#dollaro,1,0
#droga,1,0
#duomodimilano,3,0
#durso,1,0
#e,1,0
#edilizia,1,0
#ediliziascolastica,1,0
#elections2014,1,0
#elezioni,3,0
#elezionieuropee,12,0
#elsafornero,1,0
#entomofobia,1,0
#ep2014,3,0
#equitalia,3,0
#errori,1,0
#esodati,2,0
#eur,1,0
#euro,4,0
#eurobond?,1,0
#europa,18,0
#europacambiaverso,1,0
#europamigliore,2,0
#europee,42,0
#europee2014,39,0
#europeennes2014,1,0
#eurostat,1,0
#eventi,2,0
#exdc,1,0
#expo,1,0
#expo2015,2,0
#f35,1,0
#faccepulite,2,0
#faccetoste,1,0
#fake,1,0
#fascisti,1,0
#fassino,3,0
#fatturaelettronica,1,0
#fav,3,0
#fb,1,0
#fdian,2,0
#ff,3,0
#fi,1,0
#fiat,5,0
#fim,2,0
#fiom,1,0
#fiscalcompact?,1,0
#foreurope,1,0
#fortuna,1,0
#forzaitalia,8,0
#forzamilan,2,0
